en	phntc	id	ati
abuse	ə@bju:z	42	@-a@b-@y-u@z-
abusive	ə@bju:siv	43	@-a@b-@y-u@s-ei@v-
abut	ə@bʌt	44	@-a@b-a@t-
abysmal	ə@bizməl	45	@-a@b-ei@z-@-a@l-
academic	ækə@demik	46	@-e@k-a@d-e@-ei@k-
academician	ə@kædə@miʃən	47	@-a@k-e@d-a@-ei@sh-en
accede	æk@si:d	48	@-e@k-@s-ei@d-
accelerate	æk@seləreit	49	@-e@k-@s-e@l-a@rw-ei@t-
accentuate	æk@sentjueit	50	@-e@k-@s-@t-@y-u@-ei@t-
access	ækses	51	@-e@k-@s-e@s-
accessible	ək@sesəbl	52	@-a@k-@s-e@s-a@b-@l-
accessory	æk@sesəri	53	@-e@k-@s-e@s-a@rw-ei
acclaim	ə@kleim	54	@-a@k-@l-ei@-
acclimate	ə@klaimit	55	@-a@k-@l-ai@-ei@t-
accolade	ækəleid	56	@-e@k-a@l-ei@d-
accommodate	ə@kɔmədeit	57	@-a@k-eo@-a@d-ei@t-
accommodating	ə@kɔmədeitiŋ	58	@-a@k-eo@-a@d-ei@t-ei@ng-
accompany	ə@kʌmpəni	59	@-a@k-a@-@p-en@-ei
accomplice	ə@kɔmplis	60	@-a@k-eo@-@p-@l-ei@s-
accomplish	ə@kɔmpliʃ	61	@-a@k-eo@-@p-@l-ei@sh-
accomplished	ə@kɔmpliʃt	62	@-a@k-eo@-@p-@l-ei@sh-@t-
accord	ə@kɔ:d	63	@-a@k-eo@d-
accost	ə@kɔst	64	@-a@k-eo@s-@t-
accountability	ə@kautə@biliti	65	@-a@k-ao@t-a@b-ei@l-ei@t-ei
accrete	æ@kri:t	66	@-e@k-@rw-ei@t-
accretion	æ@kri:ʃən	67	@-e@k-@rw-ei@sh-en
accrue	ə@kru:	68	@-a@k-@rw-u
accumulate	ə@kju:mjuleit	69	@-a@k-@y-u@-@y-u@l-ei@t-
accuracy	ækjurəsi	70	@-e@k-@y-u@rw-a@s-ei
accurate	ækjurit	71	@-e@k-@y-u@rw-ei@t-
accuse	ə@kju:z	72	@-a@k-@y-u@z-
acerbic	ə@sə:bik	73	@-a@s-a@b-ei@k-
acknowledge	ək@nɔlidʒ	74	@-a@k-eo@l-ei@d-@r-
acme	ækmi	75	@-e@k-@-ei
acolyte	ækəlait	76	@-e@k-a@l-ai@t-
acorn	eikɔ:n	77	@-ei@k-
acoustic	ə@ku:stik	78	@-a@k-u@s-@t-ei@k-
acquaint	ə@kweint	79	@-a@k-@v-@t-
acquaintance	ə@kweintəns	80	@-a@k-@v-@t-en@s-
acquainted	ə@kweintid	81	@-a@k-@v-@t-ei@d-
acquiesce	ækwi@es	82	@-e@k-@v-ei@-e@s-
acquired	ə@kwaiəd	83	@-a@k-@v-ai@-a@d-
acquisitive	ə@kwizitiv	84	@-a@k-@v-ei@z-ei@t-ei@v-
acquit	ə@kwit	85	@-a@k-@v-ei@t-
acquittal	ə@kwit(ə)l	86	@-a@k-@v-ei@t-@-a@-@l-
acrid	ækrid	87	@-e@k-@rw-ei@d-
acrimonious	ækri@məunjəs	88	@-e@k-@rw-ei@-@y-a@s-
acrimony	ækriməni	89	@-e@k-@rw-ei@-en@-ei
acrobat	ækrəbæt	90	@-e@k-@rw-a@b-e@t-
acrophobia	ækrəu@fəubjə	91	@-e@k-@rw-eu@f-eu@b-@y-a
acuity	ə@kjuiti	92	@-a@k-@y-u@-ei@t-ei
acumen	ə@kju:mən	93	@-a@k-@y-u@-en
acute	ə@kju:t	94	@-a@k-@y-u@t-
adage	ædidʒ	95	@-e@d-ei@d-@r-
adamant	ædəmənt	96	@-e@d-a@-en@t-
adapt	ə@dæpt	97	@-a@d-e@p-@t-
adaptable	ə@dæptəbl	98	@-a@d-e@p-@t-a@b-@l-
addendum	ə@dendəm	99	@-a@d-@d-a@-
addict	ə@dikt	100	@-a@d-ei@k-@t-
addition	ə@diʃən	101	@-a@d-ei@sh-en
additive	æditiv	102	@-e@d-ei@t-ei@v-
address	ə@dres	103	@-a@d-@rw-e@s-
adept	ædept	104	@-e@d-e@p-@t-
adequate	ædikwit	105	@-e@d-ei@k-@v-ei@t-
adhere	əd@hiə	106	@-a@d-@h-ei
adherent	əd@hiərənt	107	@-a@d-@h-ei@rw-en@t-
adhesive	əd@hi:siv	108	@-a@d-@h-ei@s-ei@v-
adjacent	ə@dʒeisənt	109	@-a@d-@r-ei@s-en@t-
adjourn	ə@dʒə:n	110	@-a@d-@r-
adjunct	ædʒʌŋkt	111	@-e@d-@r-a@ng-@k-@t-
adjust	ə@dʒʌst	112	@-a@d-@r-a@s-@t-
admire	əd@maiə	113	@-a@d-@-ai@-a
admission	əd@miʃən	114	@-a@d-@-ei@sh-en
admonish	əd@mɔniʃ	115	@-a@d-@-@-ei@sh-
adobe	ə@dəubi	116	@-a@d-eu@b-ei
adolescent	ædəu@lesnt	117	@-e@d-eu@l-e@s-@t-
adopt	ə@dɔpt	118	@-a@d-eo@p-@t-
adore	ə@dɔ:	119	@-a@d-eo
adorn	ə@dɔ:n	120	@-a@d-
adroit	ə@drɔit	121	@-a@d-@rw-eo@t-
adulate	ædjuleit	122	@-e@d-@y-u@l-ei@t-
adulterate	ə@dʌltəreit	123	@-a@d-a@l-@t-a@rw-ei@t-
adumbrate	ædʌm@breit	124	@-e@d-a@-@b-@rw-ei@t-
advent	ædvənt	125	@-e@d-@v-en@t-
adventitious	ædven@tiʃəs	126	@-e@d-@v-@t-ei@sh-a@s-
adverse	ædvə:s	127	@-e@d-@v-a@s-
advertise	ædvətaiz	128	@-e@d-@v-a@t-ai@z-
advisable	əd@vaizəbl	129	@-a@d-@v-ai@z-a@b-@l-
advocacy	ædvəkəsi	130	@-e@d-@v-a@k-a@s-ei
advocate	ædvəkit	131	@-e@d-@v-a@k-ei@t-
aegis	idʒis	132	@-ei@d-@r-ei@s-
aerate	eiəreit	133	@-ei@-a@rw-ei@t-
aerial	eəriəl	134	@-e@-a@rw-ei@l-
aesthete	i:sθi:t	135	@-ei@s-@s-ei@t-
aesthetic	i:s@θetik	136	@-ei@s-@s-e@t-ei@k-
affable	æfəbl	137	@-e@f-a@b-@l-
affectation	æfek@teiʃən	138	@-e@f-e@k-@t-ei@sh-en
affected	ə@fektid	139	@-a@f-e@k-@t-ei@d-
affection	ə@fekʃən	140	@-a@f-e@k-@sh-en
affidavit	æfi@deivit	141	@-e@f-ei@d-ei@v-ei@t-
affiliate	ə@filieit	142	@-a@f-ei@l-@t-
affiliation	ə@fili@eiʃən	143	@-a@f-ei@l-ei@-ei@sh-en
affinity	ə@finiti	144	@-a@f-@-ei@t-ei
affirm	ə@fə:m	145	@-a@f-a@-
affix	ə@fiks	146	@-a@f-ei@k-@s-
afflict	ə@flikt	147	@-a@f-@l-ei@k-@t-
affliction	ə@flikʃən	148	@-a@f-@l-ei@k-@sh-en
affluence	æfluəns	149	@-e@f-@l-@s-
affluent	æfluənt	150	@-e@f-@l-@t-
affordable	ə@fɔ:dəbl	151	@-a@f-eo@d-a@b-@l-
affront	ə@frʌnt	152	@-a@f-@rw-@t-
agenda	ə@dʒendə	153	@-a@d-@r-@d-a
agglomerate	ə@ɡlɔməreit	154	@-a@-@l-eo@-a@rw-ei@t-
aggrandize	ə@ɡrændaiz	155	@-a@-@rw-e@d-ai@z-
aggravate	æɡrəveit	156	@-e@-@rw-a@v-ei@t-
aggregate	æɡriɡeit	157	@-e@-@rw-ei@-ei@t-
aggression	ə@ɡreʃən	158	@-a@-@rw-e@sh-en
aggressive	ə@ɡresiv	159	@-a@-@rw-e@s-ei@v-
aggressor	ə@ɡresə(r)	160	@-a@-@rw-e@s-a@-@-
aggrieve	ə@ɡri:v	161	@-a@-@rw-ei@v-
agile	ædʒail	162	@-e@d-@r-ai@l-
agility	ə@dʒiliti	163	@-a@d-@r-ei@l-ei@t-ei
agitate	ædʒiteit	164	@-e@d-@r-ei@t-ei@t-
agitated	ædʒiteitid	165	@-e@d-@r-ei@t-ei@t-ei@d-
agnostic	æɡ@nɔstik	166	@-e@-eo@s-@t-ei@k-
agog	ə@ɡɔɡ	167	@-a@-eo@-
agony	æɡəni	168	@-e@-en@-ei
agrarian	ə@ɡreəriən	169	@-a@-@rw-e@-a@rw-
agreeable	ə@ɡriəbl	170	@-a@-@rw-ei@b-@l-
agronomy	əɡ@rɔnəmi	171	@-a@-@rw-@-a@-ei
ail	eil	172	@-ei@l-
airborne	eəbɔ:n	173	@-e@-a@b-
airtight	eətait	174	@-e@-a@t-ai@t-
alabaster	æləbɑ:stə	175	@-e@l-a@b-a@s-@t-a
alacrity	ə@lækriti	176	@-a@l-e@k-@rw-ei@t-ei
albeit	ɔ:l@bi:it	177	@-eo@l-@b-ei@-ei@t-
alchemy	ælkimi	178	@-e@l-@k-ei@-ei
alcove	ælkəuv	179	@-e@l-@k-eu@v-
alert	ə@lə:t	180	@-a@l-a@t-
alias	eiliəs	181	@-ei@l-ei@s-
alibi	ælibai	182	@-e@l-ei@b-ai
alienate	eiljəneit	183	@-ei@l-@y-en@-ei@t-
align	ə@lain	184	@-a@l-
alimentary	æli@mentəri	185	@-e@l-ei@-@t-a@rw-ei
alkali	ælkəlai	186	@-e@l-@k-a@l-ai
allay	ə@lei	187	@-a@l-ei
allege	ə@ledʒ	188	@-a@l-e@d-@r-
allegiance	ə@li:dʒəns	189	@-a@l-ei@d-@r-en@s-
allegory	æliɡəri@ @æliɡɔ:ri	190	@-e@l-ei@-a@rw-ei@-e@l-ei@-eo@rw-ei
allergic	ə@lə:dʒik	191	@-a@l-a@d-@r-ei@k-
allergy	ælədʒi	192	@-e@l-a@d-@r-ei
alleviate	ə@li:vieit	193	@-a@l-ei@v-@t-
allocate	æləukeit	194	@-e@l-eu@k-ei@t-
allowance	ə@lauəns	195	@-a@l-ao@-en@s-
allude	ə@lju:d	196	@-a@l-@y-u@d-
alluring	ə@ljuəriŋ	197	@-a@l-@y-o@rw-ei@ng-
allusion	ə@l(j)u:ʒən	198	@-a@l-@-@y-@-u@r-en
aloft	ə@lɔft	199	@-a@l-eo@f-@t-
aloof	ə@lu:f	200	@-a@l-u@f-
alphabetical	ælfə@betikəl	201	@-e@l-@f-a@b-e@t-ei@k-a@l-
alter	ɔ:ltə	202	@-eo@l-@t-a
alternate	ɔ:l@tə:nit@ @ɔltə:@neit	203	@-eo@l-@t-@-ei@t-@-eo@l-@t-@-ei@t-
altruism	æltruizəm	204	@-e@l-@t-@rw-u@-ei@z-a@-
altruistic	æltru@istik	205	@-e@l-@t-@rw-u@-ei@s-@t-ei@k-
aluminium	ælju:@minjəm	206	@-e@l-@y-u@-@y-a@-
amalgam	ə@mælɡəm	207	@-a@-e@l-@-a@-
amalgamate	ə@mælɡəmeit	208	@-a@-e@l-@-a@-ei@t-
amass	ə@mæs	209	@-a@-e@s-
amateur	æmətə(:)	210	@-e@-a@t-a@-@-@-
amateurish	æmə@tə:riʃ	211	@-e@-a@t-a@rw-ei@sh-
ambidextrous	æmbi@dekstrəs	212	@-e@-@b-ei@d-e@k-@s-@t-@rw-a@s-
ambiguous	æm@biɡjuəs	213	@-e@-@b-ei@-@y-o@s-
ambivalence	æm@bivələns	214	@-e@-@b-ei@v-a@l-en@s-
ambivalent	æm@bivələnt	215	@-e@-@b-ei@v-a@l-en@t-
amble	æmbl	216	@-e@-@b-@l-
ambush	æmbuʃ	217	@-e@-@b-u@sh-
ameliorate	ə@mi:ljəreit	218	@-a@-ei@l-@y-a@rw-ei@t-
amenable	ə@mi:nəbl	219	@-a@-@-a@b-@l-
amend	ə@mend	220	@-a@-@d-
amendment	ə@mendmənt	221	@-a@-@d-@-en@t-
amenity	ə@mi:niti	222	@-a@-@-ei@t-ei
amiable	eimjəbl	223	@-ei@-@y-a@b-@l-
amicable	æmikəbl	224	@-e@-ei@k-a@b-@l-
amity	æməti	225	@-e@-a@t-ei
amnesia	æm@ni:zjə	226	@-e@-ei@z-@y-a
amnesty	æmnesti	227	@-e@-e@s-@t-ei
amorphous	ə@mɔ:fəs	228	@-a@-eo@f-a@s-
amortize	ə@mɔ:taiz	229	@-a@-eo@t-ai@z-
amphibian	æm@fibiən	230	@-e@-@f-ei@b-
ample	æmpl	231	@-e@-@p-@l-
amplify	æmplifai	232	@-e@-@p-@l-ei@f-ai
amplitude	æmplitju:d	233	@-e@-@p-@l-ei@t-@y-u@d-
amulet	æmjulit	234	@-e@-@y-u@l-ei@t-
amuse	ə@mju:z	235	@-a@-@y-u@z-
anachronistic	ə@nækrə@nistik	236	@-en@-e@k-@rw-en@-ei@s-@t-ei@k-
anaerobic	æneiə@rəubik	237	@-e@-ei@-a@rw-eu@b-ei@k-
anagram	ænəɡræm	238	@-e@-a@-@rw-e@-
analgesia	ænæl@dʒi:zjə	239	@-e@-e@l-@d-@r-ei@z-@y-a
analgesic	ænæl@dʒi:sik	240	@-e@-e@l-@d-@r-ei@s-ei@k-
analogous	ə@næləɡəs	241	@-en@-e@l-a@-a@s-
analogy	ə@nælədʒi	242	@-en@-e@l-a@d-@r-ei
analyze	ænəlaiz	243	@-e@-a@l-ai@z-
anarchist	ænəkist	244	@-e@-a@k-ei@s-@t-
anarchy	ænəki	245	@-e@-a@k-ei
anathema	ə@næθimə	246	@-en@-e@s-ei@-a
anatomical	ænə@tɔmikəl	247	@-e@-a@t-eo@-ei@k-a@l-
ancestor	ænsistə	248	@-e@s-ei@s-@t-a
ancestry	ænsistri@ @ænsestri	249	@-e@s-ei@s-@t-@rw-ei@-e@s-e@s-@t-@rw-ei
anchor	æŋkə	250	@-e@ng-@k-a
ancillary	æn@siləri	251	@-e@s-ei@l-a@rw-ei
anecdote	ænikdəut	252	@-e@-ei@k-@d-eu@t-
anemia	ə@ni:miə	253	@-en@-ei@-ei
anesthetic	ænis@θetik	254	@-e@-ei@s-@s-e@t-ei@k-
anguish	æŋɡwiʃ	255	@-e@ng-@-@v-ei@sh-
angular	æŋɡjulə	256	@-e@ng-@-@y-u@l-a
anhydrous	æn@haidrəs	257	@-e@h-ai@d-@rw-a@s-
animate	ænimit@ @ænimeit	258	@-e@-ei@-ei@t-@-e@-ei@-ei@t-
animated	ænimeitid	259	@-e@-ei@-ei@t-ei@d-
animation	æni@meiʃən	260	@-e@-ei@-ei@sh-en
animosity	æni@mɔsiti	261	@-e@-ei@-eo@s-ei@t-ei
animus	æniməs	262	@-e@-ei@-a@s-
annals	ænəlz	263	@-e@-a@l-@z-
annexation	ænek@seiʃən	264	@-e@-e@k-@s-ei@sh-en
annihilate	ə@naiəlet	265	@-en@-ai@-a@l-e@t-
annotate	ænəuteit	266	@-e@-eu@t-ei@t-
announce	ə@nauns	267	@-en@-@s-
annoy	ə@nɔi	268	@-en@-eo
annul	ə@nʌl	269	@-en@-a@l-
anomalous	ə@nɔmələs	270	@-en@-eo@-a@l-a@s-
anomaly	ə@nɔməli	271	@-en@-eo@-a@l-ei
anonymity	ænə@nimiti	272	@-e@-en@-ei@-ei@t-ei
anonymous	ə@nɔniməs	273	@-en@-@-ei@-a@s-
anorexia	ænə(u)@reksiə	274	@-e@-a@-u@-@rw-e@k-@s-ei
antagonism	æn@tæɡənizəm	275	@-e@t-e@-en@-ei@z-a@-
antagonize	æn@tæɡənaiz	276	@-e@t-e@-en@-ai@z-
Antarctic	æn@tɑ:ktik	277	@-e@t-a@k-@t-ei@k-
antecedence	ænti@si:dəns	278	@-e@t-ei@s-ei@d-en@s-
antecedent	ænti@si:dənt	279	@-e@t-ei@s-ei@d-en@t-
antediluvian	æntidi@lu:viən	280	@-e@t-ei@d-ei@l-u@v-
antenna	æn@tenə	281	@-e@t-@-a
anterior	æn@tiəriə	282	@-e@t-ei@rw-ei
anthem	ænθəm	283	@-e@s-a@-
anthology	æn@θɔlədʒi	284	@-e@s-eo@l-a@d-@r-ei
anthropologist	ænθrə@pɔlədʒist	285	@-e@s-@rw-a@p-eo@l-a@d-@r-ei@s-@t-
antibiotic	æntibai@ɔtik	286	@-e@t-ei@b-ai@-eo@t-ei@k-
antibody	ænti@bɔdi	287	@-e@t-ei@b-eo@d-ei
antic	æntik	288	@-e@t-ei@k-
anticipate	æn@tisipeit	289	@-e@t-ei@s-ei@p-ei@t-
anticipatory	æn@tisipeitəri	290	@-e@t-ei@s-ei@p-ei@t-a@rw-ei
anticlimax	ænti@klaimæks	291	@-e@t-ei@k-@l-ai@-e@k-@s-
antidote	æntidəut	292	@-e@t-ei@d-eu@t-
antihistamine	ænti@histəmi(:)n	293	@-e@t-ei@h-ei@s-@t-a@-ei@-@-@-
antipathy	æn@tipəθi	294	@-e@t-ei@p-a@s-ei
antiquated	æntikweitid	295	@-e@t-ei@k-@v-ei@t-ei@d-
antique	æn@ti:k	296	@-e@t-ei@k-
antiquity	æn@tikwiti	297	@-e@t-ei@k-@v-ei@t-ei
antiseptic	ænti@septik	298	@-e@t-ei@s-e@p-@t-ei@k-
antithesis	æn@tiθisis	299	@-e@t-ei@s-ei@s-ei@s-
anvil	ænvil	300	@-e@v-ei@l-
aorta	ei@ɔ:tə	301	@-ei@-eo@t-a
apex	eipeks	302	@-ei@p-e@k-@s-
aphorism	æfərizm	303	@-e@f-a@rw-ei@z-@-
apiary	eipjəri	304	@-ei@p-@y-a@rw-ei
aplomb	æplɔ:ŋ	305	@-e@p-@l-eo@ng-
apocalyptic	əpɔkə@liptik	306	@-a@p-eo@k-a@l-ei@p-@t-ei@k-
apocrypha	ə@pɔkrifə	307	@-a@p-eo@k-@rw-ei@f-a
apocryphal	ə@pɔkrif(ə)l	308	@-a@p-eo@k-@rw-ei@f-@-a@-@l-
apogee	æpəudʒi:	309	@-e@p-eu@d-@r-ei
apologize	ə@pɔlədʒaiz	310	@-a@p-eo@l-a@d-@r-ai@z-
apoplectic	æpəu@plektik	311	@-e@p-eu@p-@l-e@k-@t-ei@k-
apostasy	ə@pɔstəsi	312	@-a@p-eo@s-@t-a@s-ei
apostate	ə@pɔstit	313	@-a@p-eo@s-@t-ei@t-
apostrophe	ə@pɔstrəfi	314	@-a@p-eo@s-@t-@rw-a@f-ei
apothecary	ə@pɔθikəri	315	@-a@p-eo@s-ei@k-a@rw-ei
appall	ə@pɔ:l	316	@-a@p-eo@l-
apparatus	æpə@reitəs	317	@-e@p-a@rw-ei@t-a@s-
apparel	ə@pærəl	318	@-a@p-e@rw-a@l-
apparition	æpə@riʃən	319	@-e@p-a@rw-ei@sh-en
appeal	ə@pi:l	320	@-a@p-ei@l-
appease	ə@pi:z	321	@-a@p-ei@z-
appellation	æpe@leiʃən	322	@-e@p-e@l-ei@sh-en
appetite	æpitait	323	@-e@p-ei@t-ai@t-
appetizer	æpitaizə(r)	324	@-e@p-ei@t-ai@z-a@-@-
appetizing	æpitaiziŋ	325	@-e@p-ei@t-ai@z-ei@ng-
applaud	ə@plɔ:d	326	@-a@p-@l-eo@d-
applause	ə@plɔ:z	327	@-a@p-@l-eo@z-
applicable	æplikəbl	328	@-e@p-@l-ei@k-a@b-@l-
applicant	æplikənt	329	@-e@p-@l-ei@k-en@t-
application	æpli@keiʃən	330	@-e@p-@l-ei@k-ei@sh-en
appoint	ə@pɔint	331	@-a@p-@t-
apposite	æpəzit	332	@-e@p-a@z-ei@t-
appraise	ə@preiz	333	@-a@p-@rw-ei@z-
appreciable	ə@pri:ʃiəbl	334	@-a@p-@rw-ei@sh-ei@b-@l-
appreciate	ə@pri:ʃieit	335	@-a@p-@rw-ei@sh-@t-
apprehend	æpri@hend	336	@-e@p-@rw-ei@h-@d-
apprehensive	æpri@hensiv	337	@-e@p-@rw-ei@h-@s-ei@v-
apprentice	ə@prentis	338	@-a@p-@rw-@t-ei@s-
apprise	ə@praiz	339	@-a@p-@rw-ai@z-
approach	ə@prəutʃ	340	@-a@p-@rw-eu@t-@sh-
approbation	æprə@beiʃən	341	@-e@p-@rw-a@b-ei@sh-en
appropriate	ə@prəuprieit	342	@-a@p-@rw-eu@p-@rw-@t-
approximate	ə@prɔksimeit	343	@-a@p-@rw-eo@k-@s-ei@-ei@t-
apron	eiprən	344	@-ei@p-@rw-en
apropos	æprəpəu	345	@-e@p-@rw-a@p-eu
apt	æpt	346	@-e@p-@t-
aptitude	æptitju:d	347	@-e@p-@t-ei@t-@y-u@d-
aquatic	ə@kwætik	348	@-a@k-@v-e@t-ei@k-
aqueduct	ækwi@dʌkt	349	@-e@k-@v-ei@d-a@k-@t-
aquifer	ækwifə	350	@-e@k-@v-ei@f-a
arabesque	ærə@besk	351	@-e@rw-a@b-e@s-@k-
arable	ærəbl	352	@-e@rw-a@b-@l-
arbiter	ɑ:bitə	353	@-a@b-ei@t-a
arbitrary	ɑ:bitrəri	354	@-a@b-ei@t-@rw-a@rw-ei
arbitrate	ɑ:bitreit	355	@-a@b-ei@t-@rw-ei@t-
arboreal	ɑ:@bɔ:riəl	356	@-a@b-eo@rw-ei@l-
arboretum	ɑ:bə@ri:təm	357	@-a@b-a@rw-ei@t-a@-
arcane	ɑ:@kein	358	@-a@k-
arch	ɑ:tʃ	359	@-a@t-@sh-
archaeology	ɑ:ki@ɔlədʒi	360	@-a@k-ei@-eo@l-a@d-@r-ei
archetype	ɑ:kitaip	361	@-a@k-ei@t-ai@p-
archipelago	ɑ:ki@peliɡəu	362	@-a@k-ei@p-e@l-ei@-eu
architect	ɑ:kitekt	363	@-a@k-ei@t-e@k-@t-
archive	ɑ:kaiv	364	@-a@k-ai@v-
arctic	ɑ:ktik	365	@-a@k-@t-ei@k-
ardent	ɑ:dənt	366	@-a@d-en@t-
arena	ə@ri:nə	367	@-a@rw-@-a
argot	ɑ:ɡəu	368	@-a@-eu
aria	ɑ:riə	369	@-a@rw-ei
arid	ærid	370	@-e@rw-ei@d-
aristocracy	æris@tɔkrəsi	371	@-e@rw-ei@s-@t-eo@k-@rw-a@s-ei
armada	ɑ:@mɑ:də	372	@-a@-a@d-a
armistice	ɑ:mistis	373	@-a@-ei@s-@t-ei@s-
armory	ɑ:məri	374	@-a@-a@rw-ei
aroma	ə@rəumə	375	@-a@rw-eu@-a
aromatic	ærəu@mætik	376	@-e@rw-eu@-e@t-ei@k-
arouse	ə@rauz	377	@-a@rw-ao@z-
array	ə@rei	378	@-a@rw-ei
arrest	ə@rest	379	@-a@rw-e@s-@t-
arresting	ə@restiŋ	380	@-a@rw-e@s-@t-ei@ng-
arrhythmic	ə@riðmik	381	@-a@rw-ei@z-@-ei@k-
arrogance	ærəɡəns	382	@-e@rw-a@-en@s-
arrogant	ærəɡənt	383	@-e@rw-a@-en@t-
arrogate	ærəuɡeit	384	@-e@rw-eu@-ei@t-
arroyo	ə@rɔiəu	385	@-a@rw-eo@-eu
arsenal	ɑ:sinl	386	@-a@s-@l-
arson	ɑ:sn	387	@-a@s-
artery	ɑ:təri	388	@-a@t-a@rw-ei
arthritis	ɑ:@θraitis	389	@-a@s-@rw-ai@t-ei@s-
articulate	ɑ:@tikjulit	390	@-a@t-ei@k-@y-u@l-ei@t-
artifact	ɑ:tifækt	391	@-a@t-ei@f-e@k-@t-
artifacts	ɑ:tifæks	392	@-a@t-ei@f-e@k-@s-
artifice	ɑ:tifis	393	@-a@t-ei@f-ei@s-
artificial	ɑ:ti@fiʃəl	394	@-a@t-ei@f-ei@sh-a@l-
artistry	ɑ:tistri	395	@-a@t-ei@s-@t-@rw-ei
artless	ɑ:tlis	396	@-a@t-@l-ei@s-
ascendancy	ə@sendənsi	397	@-a@s-@d-en@s-ei
ascetic	ə@setik	398	@-a@s-e@t-ei@k-
ascribe	əs@kraib	399	@-a@s-@k-@rw-ai@b-
aseptic	æ@septik	400	@-e@s-e@p-@t-ei@k-
asparagus	əs@pærəɡəs	401	@-a@s-@p-e@rw-a@-a@s-
aspect	æspekt	402	@-e@s-@p-e@k-@t-
aspen	æspən	403	@-e@s-@p-en
asperity	æs@periti	404	@-e@s-@p-e@rw-ei@t-ei
aspersion	əs@pə:ʃən	405	@-a@s-@p-a@sh-en
asphyxiate	æs@fiksieit	406	@-e@s-@f-ei@k-@s-@t-
aspirant	əs@paiərənt	407	@-a@s-@p-ai@-a@rw-en@t-
aspiration	æspə@reiʃən	408	@-e@s-@p-a@rw-ei@sh-en
aspire	əs@paiə	409	@-a@s-@p-ai@-a
assail	ə@seil	410	@-a@s-ei@l-
assault	ə@sɔ:lt	411	@-a@s-eo@l-@t-
assay	ə@sei	412	@-a@s-ei
assemble	ə@sembl	413	@-a@s-e@-@b-@l-
assent	ə@sent	414	@-a@s-@t-
assert	ə@sə:t	415	@-a@s-a@t-
assertive	ə@sə:tiv	416	@-a@s-a@t-ei@v-
assertiveness	ə@sə:tivnis	417	@-a@s-a@t-ei@v-ei@s-
assess	ə@ses	418	@-a@s-e@s-
assessment	ə@sesmənt	419	@-a@s-e@s-@-en@t-
asset	æset	420	@-e@s-e@t-
assiduous	ə@sidjuəs	421	@-a@s-ei@d-@y-o@s-
assimilate	ə@simileit	422	@-a@s-ei@-ei@l-ei@t-
associate	ə@səuʃieit	423	@-a@s-eu@sh-@t-
assorted	ə@sɔ:tid	424	@-a@s-eo@t-ei@d-
