en	phntc	id	ati	cc
advocate	ædvəkit	131	@-e@d-@v-a@k-ei@t-	鳄的戍nonexnonex
aegis	idʒis	132	@-ei@d-@r-ei@s-	nonex的nonex嘶
aerate	eiəreit	133	@-ei@-a@rw-ei@t-	nonex啊锐nonex
aerial	eəriəl	134	@-e@-a@rw-ei@l-	鳄啊锐了
aesthete	i:sθi:t	135	@-ei@s-@s-ei@t-	nonex嘶nonexnonex
aesthetic	i:s@θetik	136	@-ei@s-@s-e@t-ei@k-	nonex嘶三nonex磕
affable	æfəbl	137	@-e@f-a@b-@l-	鳄发不了
affectation	æfek@teiʃən	138	@-e@f-e@k-@t-ei@sh-en	鳄帆磕nonex申
affected	ə@fektid	139	@-a@f-e@k-@t-ei@d-	啊帆磕nonex的
affection	ə@fekʃən	140	@-a@f-e@k-@sh-en	啊帆磕申
affidavit	æfi@deivit	141	@-e@f-ei@d-ei@v-ei@t-	鳄飞nonex危nonex
affiliate	ə@filieit	142	@-a@f-ei@l-@t-	啊飞了nonex
affiliation	ə@fili@eiʃən	143	@-a@f-ei@l-ei@-ei@sh-en	啊飞雷nonex申
affinity	ə@finiti	144	@-a@f-@-ei@t-ei	啊肤nonexnonex
affirm	ə@fə:m	145	@-a@f-a@-	啊发
affix	ə@fiks	146	@-a@f-ei@k-@s-	啊飞磕嘶
afflict	ə@flikt	147	@-a@f-@l-ei@k-@t-	啊肤雷磕nonex
affliction	ə@flikʃən	148	@-a@f-@l-ei@k-@sh-en	啊肤雷磕申
affluence	æfluəns	149	@-e@f-@l-@s-	鳄肤了嘶
affluent	æfluənt	150	@-e@f-@l-@t-	鳄肤了nonex
affordable	ə@fɔ:dəbl	151	@-a@f-eo@d-a@b-@l-	啊方搭不了
affront	ə@frʌnt	152	@-a@f-@rw-@t-	啊肤入nonex
agenda	ə@dʒendə	153	@-a@d-@r-@d-a	啊的nonex搭
agglomerate	ə@ɡlɔməreit	154	@-a@-@l-eo@-a@rw-ei@t-	啊郎啊锐nonex
aggrandize	ə@ɡrændaiz	155	@-a@-@rw-e@d-ai@z-	啊软呆nonex
aggravate	æɡrəveit	156	@-e@-@rw-a@v-ei@t-	鳄若危nonex
aggregate	æɡriɡeit	157	@-e@-@rw-ei@-ei@t-	鳄锐nonexnonex
aggression	ə@ɡreʃən	158	@-a@-@rw-e@sh-en	啊软申
aggressive	ə@ɡresiv	159	@-a@-@rw-e@s-ei@v-	啊软nonexnonex
aggressor	ə@ɡresə(r)	160	@-a@-@rw-e@s-a@-@-	啊软刹
aggrieve	ə@ɡri:v	161	@-a@-@rw-ei@v-	啊锐nonex
agile	ædʒail	162	@-e@d-@r-ai@l-	鳄的nonex了
agility	ə@dʒiliti	163	@-a@d-@r-ei@l-ei@t-ei	啊的nonex雷nonex
agitate	ædʒiteit	164	@-e@d-@r-ei@t-ei@t-	鳄的nonexnonexnonex
agitated	ædʒiteitid	165	@-e@d-@r-ei@t-ei@t-ei@d-	鳄的nonexnonexnonex的
agnostic	æɡ@nɔstik	166	@-e@-eo@s-@t-ei@k-	鳄nonex嘶nonex磕
agog	ə@ɡɔɡ	167	@-a@-eo@-	啊nonex
agony	æɡəni	168	@-e@-en@-ei	鳄nonexnonex
agrarian	ə@ɡreəriən	169	@-a@-@rw-e@-a@rw-	啊软啊入
agreeable	ə@ɡriəbl	170	@-a@-@rw-ei@b-@l-	啊锐不了
agronomy	əɡ@rɔnəmi	171	@-a@-@rw-@-a@-ei	啊入啊nonex
ail	eil	172	@-ei@l-	nonex了
airborne	eəbɔ:n	173	@-e@-a@b-	鳄啊不
airtight	eətait	174	@-e@-a@t-ai@t-	鳄啊胎nonex
alabaster	æləbɑ:stə	175	@-e@l-a@b-a@s-@t-a	鳄垃八嘶他
alacrity	ə@lækriti	176	@-a@l-e@k-@rw-ei@t-ei	啊兰磕锐nonex
albeit	ɔ:l@bi:it	177	@-eo@l-@b-ei@-ei@t-	nonex了杯nonexnonex
alchemy	ælkimi	178	@-e@l-@k-ei@-ei	鳄了nonexnonex
alcove	ælkəuv	179	@-e@l-@k-eu@v-	鳄了抠nonex
alert	ə@lə:t	180	@-a@l-a@t-	啊垃nonex
alias	eiliəs	181	@-ei@l-ei@s-	nonex雷嘶
alibi	ælibai	182	@-e@l-ei@b-ai	鳄雷摆
alienate	eiljəneit	183	@-ei@l-@y-en@-ei@t-	nonex了因nonexnonex
align	ə@lain	184	@-a@l-	啊了
alimentary	æli@mentəri	185	@-e@l-ei@-@t-a@rw-ei	鳄雷他锐
alkali	ælkəlai	186	@-e@l-@k-a@l-ai	鳄了劾来
allay	ə@lei	187	@-a@l-ei	啊雷
allege	ə@ledʒ	188	@-a@l-e@d-@r-	啊兰的nonex
allegiance	ə@li:dʒəns	189	@-a@l-ei@d-@r-en@s-	啊雷的人嘶
allegory	æliɡəri@ @æliɡɔ:ri	190	@-e@l-ei@-a@rw-ei@-e@l-ei@-eo@rw-ei	鳄雷啊锐鳄雷nonex锐
allergic	ə@lə:dʒik	191	@-a@l-a@d-@r-ei@k-	啊垃的nonex磕
allergy	ælədʒi	192	@-e@l-a@d-@r-ei	鳄垃的nonex
alleviate	ə@li:vieit	193	@-a@l-ei@v-@t-	啊雷nonexnonex
allocate	æləukeit	194	@-e@l-eu@k-ei@t-	鳄娄nonexnonex
allowance	ə@lauəns	195	@-a@l-ao@-en@s-	啊捞nonex嘶
allude	ə@lju:d	196	@-a@l-@y-u@d-	啊了豫的
alluring	ə@ljuəriŋ	197	@-a@l-@y-o@rw-ei@ng-	啊了哟锐nonex
allusion	ə@l(j)u:ʒən	198	@-a@l-@-@y-@-u@r-en	啊了一无人
aloft	ə@lɔft	199	@-a@l-eo@f-@t-	啊郎肤nonex
aloof	ə@lu:f	200	@-a@l-u@f-	啊nonex肤
alphabetical	ælfə@betikəl	201	@-e@l-@f-a@b-e@t-ei@k-a@l-	鳄了发掰nonex劾了
alter	ɔ:ltə	202	@-eo@l-@t-a	nonex了他
alternate	ɔ:l@tə:nit@ @ɔltə:@neit	203	@-eo@l-@t-@-ei@t-@-eo@l-@t-@-ei@t-	nonex了nonexnonexnonexnonex了nonexnonexnonex
altruism	æltruizəm	204	@-e@l-@t-@rw-u@-ei@z-a@-	鳄了nonexnonexnonex伸
altruistic	æltru@istik	205	@-e@l-@t-@rw-u@-ei@s-@t-ei@k-	鳄了nonexnonexnonex嘶nonex磕
aluminium	ælju:@minjəm	206	@-e@l-@y-u@-@y-a@-	鳄了豫丫
amalgam	ə@mælɡəm	207	@-a@-e@l-@-a@-	啊鳄了啊
amalgamate	ə@mælɡəmeit	208	@-a@-e@l-@-a@-ei@t-	啊鳄了啊nonexnonex
amass	ə@mæs	209	@-a@-e@s-	啊鳄嘶
amateur	æmətə(:)	210	@-e@-a@t-a@-@-@-	鳄啊他
amateurish	æmə@tə:riʃ	211	@-e@-a@t-a@rw-ei@sh-	鳄啊他锐什
ambidextrous	æmbi@dekstrəs	212	@-e@-@b-ei@d-e@k-@s-@t-@rw-a@s-	鳄杯丹磕嘶nonex若嘶
ambiguous	æm@biɡjuəs	213	@-e@-@b-ei@-@y-o@s-	鳄杯哟嘶
ambivalence	æm@bivələns	214	@-e@-@b-ei@v-a@l-en@s-	鳄杯戍棱嘶
ambivalent	æm@bivələnt	215	@-e@-@b-ei@v-a@l-en@t-	鳄杯戍棱nonex
amble	æmbl	216	@-e@-@b-@l-	鳄不了
ambush	æmbuʃ	217	@-e@-@b-u@sh-	鳄补什
ameliorate	ə@mi:ljəreit	218	@-a@-ei@l-@y-a@rw-ei@t-	啊nonex了丫锐nonex
amenable	ə@mi:nəbl	219	@-a@-@-a@b-@l-	啊啊不了
amend	ə@mend	220	@-a@-@d-	啊的
amendment	ə@mendmənt	221	@-a@-@d-@-en@t-	啊的nonexnonex
amenity	ə@mi:niti	222	@-a@-@-ei@t-ei	啊nonexnonex
amiable	eimjəbl	223	@-ei@-@y-a@b-@l-	nonex丫不了
amicable	æmikəbl	224	@-e@-ei@k-a@b-@l-	鳄nonex劾不了
amity	æməti	225	@-e@-a@t-ei	鳄啊nonex
amnesia	æm@ni:zjə	226	@-e@-ei@z-@y-a	鳄nonexnonex丫
amnesty	æmnesti	227	@-e@-e@s-@t-ei	鳄鳄嘶nonex
amorphous	ə@mɔ:fəs	228	@-a@-eo@f-a@s-	啊nonex发嘶
amortize	ə@mɔ:taiz	229	@-a@-eo@t-ai@z-	啊nonex胎nonex
amphibian	æm@fibiən	230	@-e@-@f-ei@b-	鳄飞不
ample	æmpl	231	@-e@-@p-@l-	鳄扑了
amplify	æmplifai	232	@-e@-@p-@l-ei@f-ai	鳄扑雷nonex
amplitude	æmplitju:d	233	@-e@-@p-@l-ei@t-@y-u@d-	鳄扑雷nonex豫的
amulet	æmjulit	234	@-e@-@y-u@l-ei@t-	鳄豫雷nonex
amuse	ə@mju:z	235	@-a@-@y-u@z-	啊豫nonex
anachronistic	ə@nækrə@nistik	236	@-en@-e@k-@rw-en@-ei@s-@t-ei@k-	nonex鳄磕nonexnonex嘶nonex磕
anaerobic	æneiə@rəubik	237	@-e@-ei@-a@rw-eu@b-ei@k-	鳄nonex啊nonex杯磕
anagram	ænəɡræm	238	@-e@-a@-@rw-e@-	鳄啊软
analgesia	ænæl@dʒi:zjə	239	@-e@-e@l-@d-@r-ei@z-@y-a	鳄鳄了的nonexnonex丫
analgesic	ænæl@dʒi:sik	240	@-e@-e@l-@d-@r-ei@s-ei@k-	鳄鳄了的nonexnonex磕
analogous	ə@næləɡəs	241	@-en@-e@l-a@-a@s-	nonex鳄垃啊嘶
analogy	ə@nælədʒi	242	@-en@-e@l-a@d-@r-ei	nonex鳄垃的nonex
analyze	ænəlaiz	243	@-e@-a@l-ai@z-	鳄啊来nonex
anarchist	ænəkist	244	@-e@-a@k-ei@s-@t-	鳄啊nonex嘶nonex
anarchy	ænəki	245	@-e@-a@k-ei	鳄啊nonex
anathema	ə@næθimə	246	@-en@-e@s-ei@-a	nonex鳄nonex啊
anatomical	ænə@tɔmikəl	247	@-e@-a@t-eo@-ei@k-a@l-	鳄啊汤nonex劾了
ancestor	ænsistə	248	@-e@s-ei@s-@t-a	鳄nonex嘶他
ancestry	ænsistri@ @ænsestri	249	@-e@s-ei@s-@t-@rw-ei@-e@s-e@s-@t-@rw-ei	鳄nonex嘶nonex锐鳄三嘶nonex锐
anchor	æŋkə	250	@-e@ng-@k-a	鳄nonex劾
ancillary	æn@siləri	251	@-e@s-ei@l-a@rw-ei	鳄nonex垃锐
anecdote	ænikdəut	252	@-e@-ei@k-@d-eu@t-	鳄nonex磕都nonex
anemia	ə@ni:miə	253	@-en@-ei@-ei	nonexnonexnonex
anesthetic	ænis@θetik	254	@-e@-ei@s-@s-e@t-ei@k-	鳄nonex嘶三nonex磕
anguish	æŋɡwiʃ	255	@-e@ng-@-@v-ei@sh-	鳄nonex危什
angular	æŋɡjulə	256	@-e@ng-@-@y-u@l-a	鳄nonex豫垃
anhydrous	æn@haidrəs	257	@-e@h-ai@d-@rw-a@s-	鳄垓的若嘶
animate	ænimit@ @ænimeit	258	@-e@-ei@-ei@t-@-e@-ei@-ei@t-	鳄nonexnonexnonex鳄nonexnonexnonex
animated	ænimeitid	259	@-e@-ei@-ei@t-ei@d-	鳄nonexnonexnonex的
animation	æni@meiʃən	260	@-e@-ei@-ei@sh-en	鳄nonexnonex申
animosity	æni@mɔsiti	261	@-e@-ei@-eo@s-ei@t-ei	鳄nonexnonexnonexnonex
animus	æniməs	262	@-e@-ei@-a@s-	鳄nonex啊嘶
annals	ænəlz	263	@-e@-a@l-@z-	鳄啊了nonex
annexation	ænek@seiʃən	264	@-e@-e@k-@s-ei@sh-en	鳄鳄磕nonex申
annihilate	ə@naiəlet	265	@-en@-ai@-a@l-e@t-	nonex哎啊兰nonex
annotate	ænəuteit	266	@-e@-eu@t-ei@t-	鳄nonexnonexnonex
announce	ə@nauns	267	@-en@-@s-	nonex嘶
annoy	ə@nɔi	268	@-en@-eo	nonexnonex
annul	ə@nʌl	269	@-en@-a@l-	nonex啊了
anomalous	ə@nɔmələs	270	@-en@-eo@-a@l-a@s-	nonexnonex啊垃嘶
anomaly	ə@nɔməli	271	@-en@-eo@-a@l-ei	nonexnonex啊雷
anonymity	ænə@nimiti	272	@-e@-en@-ei@-ei@t-ei	鳄nonexnonexnonexnonex
anonymous	ə@nɔniməs	273	@-en@-@-ei@-a@s-	nonexnonex啊嘶
anorexia	ænə(u)@reksiə	274	@-e@-a@-u@-@rw-e@k-@s-ei	鳄啊无软磕nonex
antagonism	æn@tæɡənizəm	275	@-e@t-e@-en@-ei@z-a@-	鳄贪nonexnonex伸
antagonize	æn@tæɡənaiz	276	@-e@t-e@-en@-ai@z-	鳄贪nonex哎nonex
Antarctic	æn@tɑ:ktik	277	@-e@t-a@k-@t-ei@k-	鳄他磕nonex磕
antecedence	ænti@si:dəns	278	@-e@t-ei@s-ei@d-en@s-	鳄nonexnonex灯嘶
antecedent	ænti@si:dənt	279	@-e@t-ei@s-ei@d-en@t-	鳄nonexnonex灯nonex
antediluvian	æntidi@lu:viən	280	@-e@t-ei@d-ei@l-u@v-	鳄nonexnonexnonexnonex
antenna	æn@tenə	281	@-e@t-@-a	鳄nonex啊
anterior	æn@tiəriə	282	@-e@t-ei@rw-ei	鳄nonex锐
anthem	ænθəm	283	@-e@s-a@-	鳄刹
anthology	æn@θɔlədʒi	284	@-e@s-eo@l-a@d-@r-ei	鳄桑垃的nonex
anthropologist	ænθrə@pɔlədʒist	285	@-e@s-@rw-a@p-eo@l-a@d-@r-ei@s-@t-	鳄嘶若乓垃的nonex嘶nonex
antibiotic	æntibai@ɔtik	286	@-e@t-ei@b-ai@-eo@t-ei@k-	鳄nonex摆nonexnonex磕
antibody	ænti@bɔdi	287	@-e@t-ei@b-eo@d-ei	鳄nonex邦nonex
antic	æntik	288	@-e@t-ei@k-	鳄nonex磕
anticipate	æn@tisipeit	289	@-e@t-ei@s-ei@p-ei@t-	鳄nonexnonex胚nonex
anticipatory	æn@tisipeitəri	290	@-e@t-ei@s-ei@p-ei@t-a@rw-ei	鳄nonexnonex胚他锐
anticlimax	ænti@klaimæks	291	@-e@t-ei@k-@l-ai@-e@k-@s-	鳄nonex磕来鳄磕嘶
antidote	æntidəut	292	@-e@t-ei@d-eu@t-	鳄nonex都nonex
antihistamine	ænti@histəmi(:)n	293	@-e@t-ei@h-ei@s-@t-a@-ei@-@-@-	鳄nonex嘿嘶他nonex
antipathy	æn@tipəθi	294	@-e@t-ei@p-a@s-ei	鳄nonex趴nonex
antiquated	æntikweitid	295	@-e@t-ei@k-@v-ei@t-ei@d-	鳄nonex磕危nonex的
antique	æn@ti:k	296	@-e@t-ei@k-	鳄nonex磕
antiquity	æn@tikwiti	297	@-e@t-ei@k-@v-ei@t-ei	鳄nonex磕危nonex
antiseptic	ænti@septik	298	@-e@t-ei@s-e@p-@t-ei@k-	鳄nonex三扑nonex磕
antithesis	æn@tiθisis	299	@-e@t-ei@s-ei@s-ei@s-	鳄nonexnonexnonex嘶
anvil	ænvil	300	@-e@v-ei@l-	鳄危了
aorta	ei@ɔ:tə	301	@-ei@-eo@t-a	nonexnonex他
apex	eipeks	302	@-ei@p-e@k-@s-	nonex攀磕嘶
aphorism	æfərizm	303	@-e@f-a@rw-ei@z-@-	鳄发锐nonex
apiary	eipjəri	304	@-ei@p-@y-a@rw-ei	nonex扑丫锐
aplomb	æplɔ:ŋ	305	@-e@p-@l-eo@ng-	鳄扑郎nonex
apocalyptic	əpɔkə@liptik	306	@-a@p-eo@k-a@l-ei@p-@t-ei@k-	啊乓劾雷扑nonex磕
apocrypha	ə@pɔkrifə	307	@-a@p-eo@k-@rw-ei@f-a	啊乓磕锐发
apocryphal	ə@pɔkrif(ə)l	308	@-a@p-eo@k-@rw-ei@f-@-a@-@l-	啊乓磕锐肤啊了
apogee	æpəudʒi:	309	@-e@p-eu@d-@r-ei	鳄nonex的nonex
apologize	ə@pɔlədʒaiz	310	@-a@p-eo@l-a@d-@r-ai@z-	啊乓垃的nonexnonex
apoplectic	æpəu@plektik	311	@-e@p-eu@p-@l-e@k-@t-ei@k-	鳄nonex扑兰磕nonex磕
apostasy	ə@pɔstəsi	312	@-a@p-eo@s-@t-a@s-ei	啊乓嘶他nonex
apostate	ə@pɔstit	313	@-a@p-eo@s-@t-ei@t-	啊乓嘶nonexnonex
apostrophe	ə@pɔstrəfi	314	@-a@p-eo@s-@t-@rw-a@f-ei	啊乓嘶nonex若飞
apothecary	ə@pɔθikəri	315	@-a@p-eo@s-ei@k-a@rw-ei	啊乓nonex劾锐
